eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.9,40,35,3,1.37,0.0,2.0,15.0,tree_top,1.84285714286,1.0,2.0,15.0,tree_top,0.666666666667,1.0,1.0,3.0,tree_top,2.725,1.0,5.2,15.0,tree_bot
1,1,0.9,40,25,1,0.53,0.0,1.0,5.0,tree_top,0.657142857143,0.0,1.0,5.0,tree_top,0.394736842105,0.0,1.0,2.0,tree_top,0.96875,0.0,2.0,5.0,tree_bot
1,1,0.9,40,25,2,0.64,0.0,1.0,4.0,tree_top,0.842857142857,0.5,2.0,4.0,tree_top,0.5625,0.0,1.0,2.0,tree_top,1.07894736842,1.0,2.0,4.0,off_bot
1,1,0.9,40,25,3,0.54,0.0,1.0,4.0,tree_top,0.642857142857,1.0,1.0,4.0,tree_top,0.741935483871,1.0,1.0,4.0,tree_top,0.564102564103,0.0,1.0,3.0,tree_bot
1,1,0.9,40,15,1,0.42,0.0,1.0,4.0,tree_top,0.414285714286,0.0,1.0,3.0,tree_top,0.485714285714,0.0,1.0,3.0,tree_top,0.342857142857,0.0,1.0,3.0,tree_bot
1,1,0.9,40,15,2,0.3,0.0,1.0,4.0,tree_top,0.328571428571,0.0,1.0,4.0,tree_top,0.3125,0.0,1.0,2.0,tree_top,0.363636363636,0.0,0.8,4.0,tree_bot
1,1,0.9,40,15,3,0.57,0.0,1.0,5.0,tree_top,0.642857142857,0.0,1.0,5.0,tree_top,0.733333333333,0.5,1.0,5.0,tree_top,0.575,0.0,1.0,4.0,tree_bot
1,1,0.9,40,10,1,0.39,0.0,1.0,3.0,tree_top,0.357142857143,0.0,1.0,3.0,tree_top,0.333333333333,0.0,1.0,1.0,tree_top,0.387096774194,0.0,1.0,3.0,off_bot
1,1,0.9,40,10,2,0.41,0.0,1.0,3.0,tree_top,0.514285714286,0.0,1.0,3.0,tree_top,0.4375,0.0,1.0,2.0,tree_top,0.578947368421,0.0,1.0,3.0,off_bot
1,1,0.9,40,10,3,0.43,0.0,1.0,2.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.621621621622,1.0,1.0,2.0,tree_top,0.363636363636,0.0,1.0,2.0,tree_bot
