eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.225,119,36,56,0.001,11.24,1.0,12.0,130.0,tree_top,15.5857142857,2.0,24.8,130.0,tree_top,1.02631578947,1.0,1.6,4.0,tree_top,32.875,22.0,62.6,130.0,tree_bot
0.1,1,0.225,119,36,56,0.001,128.59,1.0,169.2,1943.0,tree_top,183.271428571,4.5,366.8,1943.0,tree_top,0.823529411765,1.0,1.0,3.0,tree_top,355.583333333,292.0,463.0,1943.0,tree_top
0.1,1,0.225,119,36,56,0.001,20.06,1.0,4.0,653.0,tree_top,28.1714285714,1.0,10.8,653.0,tree_top,1.14285714286,1.0,2.0,4.0,tree_top,68.7142857143,12.0,53.0,653.0,tree_bot
0.1,1,0.225,119,36,56,0.001,9.42,1.0,7.0,100.0,tree_top,13.0428571429,2.0,18.0,100.0,tree_top,1.92105263158,1.0,3.0,8.0,tree_top,26.25,13.5,56.6,100.0,tree_top
0.1,1,0.225,119,36,56,0.001,95.11,2.0,83.6,1362.0,tree_top,134.642857143,3.0,188.8,1362.0,tree_top,1.45,1.0,2.0,6.0,tree_top,312.233333333,166.0,511.2,1362.0,tree_top
0.1,1,0.225,119,36,56,0.001,85.39,2.0,90.8,1161.0,tree_top,121.542857143,3.0,276.4,1161.0,tree_top,1.32258064516,1.0,2.0,6.0,tree_top,217.102564103,130.0,373.8,1161.0,tree_top
0.1,1,0.225,119,36,56,0.001,91.9,2.0,87.0,1323.0,tree_top,130.242857143,2.0,203.6,1323.0,tree_top,1.275,1.0,2.0,5.0,tree_top,302.2,170.5,464.6,1323.0,tree_top
0.1,1,0.225,119,36,56,0.001,119.35,2.0,184.8,1674.0,tree_top,170.142857143,6.0,282.8,1674.0,tree_top,1.45161290323,1.0,2.0,7.0,tree_top,304.230769231,200.0,407.4,1674.0,tree_top
0.1,1,0.225,119,36,56,0.001,80.69,2.0,48.0,1772.0,tree_top,114.871428571,3.5,159.2,1772.0,tree_top,1.36666666667,1.0,2.0,3.0,tree_top,200.0,49.5,276.2,1772.0,tree_top
0.1,1,0.225,119,36,56,0.001,239.77,78.5,439.2,1680.0,tree_top,237.114285714,43.0,414.2,1680.0,tree_top,1.16129032258,1.0,2.0,4.0,tree_top,424.666666667,254.0,702.0,1680.0,tree_top
0.1,1,0.225,119,36,56,0.001,112.13,2.0,100.4,1248.0,tree_top,159.728571429,4.0,301.8,1248.0,tree_top,1.70967741935,1.0,3.0,5.0,tree_top,285.333333333,122.0,511.4,1248.0,tree_top
0.1,1,0.225,119,36,56,0.001,100.69,1.0,43.8,2184.0,tree_top,143.5,2.0,100.8,2184.0,tree_top,1.12121212121,1.0,1.6,4.0,tree_top,270.486486486,53.0,527.6,2184.0,tree_top
0.1,1,0.225,119,36,56,0.001,3.63,1.0,5.0,45.0,tree_top,4.68571428571,2.0,8.0,45.0,tree_top,1.17948717949,1.0,2.0,3.0,tree_top,9.09677419355,6.0,12.0,45.0,tree_top
0.1,1,0.225,119,36,56,0.001,20.0,2.0,35.4,229.0,tree_bot,27.0142857143,4.5,43.0,229.0,tree_bot,1.32258064516,1.0,2.0,5.0,tree_top,47.4358974359,35.0,88.8,229.0,tree_bot
0.1,1,0.225,119,36,56,0.001,81.97,2.0,81.8,2093.0,tree_top,116.542857143,3.0,146.4,2093.0,tree_top,1.37837837838,1.0,2.0,3.0,tree_top,245.666666667,135.0,261.0,2093.0,tree_top
0.1,1,0.225,119,36,56,0.001,11.44,1.0,4.4,236.0,tree_top,16.0142857143,2.0,15.4,236.0,tree_top,1.23255813953,1.0,2.0,4.0,tree_top,39.5555555556,25.0,55.2,236.0,tree_bot
0.1,1,0.225,119,36,56,0.001,86.75,1.0,90.6,1646.0,tree_top,123.671428571,2.0,162.4,1646.0,tree_top,1.05714285714,1.0,1.2,3.0,tree_top,246.285714286,121.0,291.0,1646.0,tree_bot
0.1,1,0.225,119,36,56,0.001,31.88,2.0,18.6,643.0,tree_top,44.9,2.0,57.0,643.0,tree_top,1.0,1.0,2.0,3.0,tree_top,94.1212121212,42.0,150.2,643.0,tree_top
0.1,1,0.225,119,36,56,0.001,71.18,2.0,107.2,998.0,tree_top,101.157142857,3.5,151.2,998.0,tree_top,1.5,1.0,2.4,4.0,tree_top,195.277777778,127.0,297.0,998.0,tree_top
0.1,1,0.225,119,36,56,0.001,17.46,2.0,20.2,179.0,tree_top,24.5428571429,4.0,45.6,179.0,tree_top,1.57142857143,1.0,2.2,5.0,tree_top,47.5142857143,27.0,82.6,179.0,tree_bot
0.1,1,0.225,119,36,56,0.001,92.71,2.0,59.0,1640.0,tree_top,132.028571429,4.0,148.4,1640.0,tree_top,1.45714285714,1.0,2.0,5.0,tree_top,262.6,106.0,413.2,1640.0,tree_top
0.1,1,0.225,119,36,56,0.001,59.04,2.0,99.8,834.0,tree_top,83.7857142857,4.5,186.2,834.0,tree_top,1.54285714286,1.0,2.0,7.0,tree_top,166.028571429,119.0,293.2,834.0,tree_bot
0.1,1,0.225,119,36,56,0.001,21.13,1.0,5.2,681.0,tree_top,29.8428571429,2.0,15.8,681.0,tree_top,1.175,1.0,2.0,5.0,tree_top,68.0666666667,12.0,82.4,681.0,tree_bot
0.1,1,0.225,119,36,56,0.001,54.38,1.0,10.4,699.0,tree_top,77.1857142857,1.0,80.4,699.0,tree_top,0.951219512195,1.0,1.0,4.0,tree_top,184.965517241,77.0,392.0,699.0,tree_top
0.1,1,0.225,119,36,56,0.001,114.69,2.0,164.6,1550.0,tree_top,163.328571429,3.5,281.2,1550.0,tree_top,1.11764705882,1.0,2.0,4.0,tree_top,316.527777778,198.0,468.0,1550.0,tree_top
0.1,1,0.225,119,36,56,0.001,92.73,2.0,65.4,1570.0,tree_top,132.2,5.0,145.2,1570.0,tree_top,2.39393939394,2.0,4.0,5.0,tree_top,247.972972973,91.0,494.0,1570.0,tree_top
0.1,1,0.225,119,36,56,0.001,69.37,2.0,45.4,709.0,tree_top,98.5857142857,3.0,199.4,709.0,tree_top,1.2972972973,1.0,2.0,6.0,tree_top,207.666666667,154.0,445.4,709.0,tree_top
0.1,1,0.225,119,36,56,0.001,64.47,3.0,92.2,1144.0,tree_top,91.0142857143,7.0,153.2,1144.0,tree_top,1.97058823529,2.0,3.0,5.0,tree_top,175.111111111,105.5,205.0,1144.0,tree_top
0.1,1,0.225,119,36,56,0.001,84.24,1.0,72.0,1547.0,tree_top,120.0,3.0,150.6,1547.0,tree_top,1.68571428571,1.0,2.2,12.0,tree_top,238.314285714,108.0,438.6,1547.0,tree_top
0.1,1,0.225,119,36,56,0.001,73.71,1.0,31.2,2024.0,tree_top,104.671428571,2.0,124.8,2024.0,tree_top,1.13513513514,1.0,2.0,5.0,tree_top,220.757575758,88.0,283.4,2024.0,tree_bot
0.1,1,0.225,119,36,56,0.001,137.61,2.0,133.0,1800.0,tree_top,196.071428571,3.0,226.4,1800.0,tree_top,1.11428571429,1.0,2.0,4.0,tree_top,391.028571429,181.0,896.8,1800.0,tree_top
0.1,1,0.225,119,36,56,0.001,68.36,1.0,87.4,910.0,tree_top,97.2142857143,2.0,134.4,910.0,tree_top,0.973684210526,1.0,1.0,2.0,tree_top,211.5,126.5,427.0,910.0,tree_top
0.1,1,0.225,119,36,56,0.001,7.99,1.0,7.4,84.0,tree_top,11.0428571429,2.0,20.4,84.0,tree_top,1.05882352941,1.0,1.4,2.0,tree_top,20.4722222222,9.0,37.0,84.0,tree_top
0.1,1,0.225,119,36,56,0.001,76.41,1.5,72.0,1567.0,tree_top,108.771428571,2.0,134.8,1567.0,tree_top,1.35,1.0,2.0,7.0,tree_top,252.0,126.5,401.4,1567.0,tree_top
0.1,1,0.225,119,36,56,0.001,73.55,2.0,86.4,748.0,tree_top,104.771428571,13.0,143.6,748.0,tree_top,1.5,1.0,2.0,8.0,tree_top,173.619047619,85.0,345.2,748.0,tree_bot
0.1,1,0.225,119,36,56,0.001,95.15,2.0,152.0,1251.0,tree_top,135.371428571,3.5,280.2,1251.0,tree_top,1.62162162162,1.0,3.0,6.0,tree_top,285.333333333,248.0,475.0,1251.0,tree_top
0.1,1,0.225,119,36,56,0.001,42.8,1.0,55.4,747.0,tree_top,60.4571428571,1.0,104.4,747.0,tree_top,0.897435897436,1.0,1.0,3.0,tree_top,135.387096774,104.0,190.0,747.0,tree_top
0.1,1,0.225,119,36,56,0.001,15.17,2.0,18.2,210.0,tree_top,20.9142857143,6.0,28.2,210.0,tree_top,1.6,1.0,2.0,9.0,tree_top,40.2285714286,21.0,59.0,210.0,tree_top
0.1,1,0.225,119,36,56,0.001,37.35,1.0,10.2,539.0,tree_top,52.9142857143,2.0,45.6,539.0,tree_top,1.36363636364,1.0,2.0,5.0,tree_top,140.153846154,85.0,252.0,539.0,tree_bot
0.1,1,0.225,119,36,56,0.001,214.42,61.5,305.8,3181.0,tree_top,238.185714286,110.0,310.8,3181.0,tree_top,1.07142857143,1.0,2.0,3.0,tree_top,396.261904762,258.0,550.0,3181.0,tree_top
0.1,1,0.225,119,36,56,0.001,90.23,2.0,43.6,996.0,tree_top,128.485714286,3.0,228.2,996.0,tree_top,1.44444444444,1.0,2.0,5.0,tree_top,263.0,91.0,498.8,996.0,tree_top
