,Gravity,Score,Death
329,1.0,4.0,tree_top
330,1.0,9.0,off_bot
331,1.0,4.0,tree_top
332,1.0,9.0,off_bot
333,1.0,7.0,tree_top
334,1.0,8.0,tree_bot
335,1.0,1.0,off_bot
336,1.0,8.0,off_bot
337,1.0,0.0,tree_top
338,1.0,1.0,off_bot
339,1.0,2.0,off_bot
340,1.0,2.0,off_bot
341,1.0,9.0,tree_bot
342,1.0,2.0,off_bot
343,1.0,7.0,off_bot
344,1.0,2.0,off_bot
345,1.0,18.0,off_bot
346,1.0,4.0,off_bot
347,1.0,7.0,tree_bot
348,1.0,1.0,off_bot
349,1.0,4.0,off_bot
350,1.0,20.0,tree_bot
351,1.0,4.0,off_bot
352,1.0,3.0,off_bot
353,1.0,1.0,off_bot
354,1.0,5.0,off_bot
355,1.0,3.0,off_bot
356,1.0,8.0,off_bot
357,1.0,2.0,off_bot
358,1.0,1.0,off_bot
359,1.0,2.0,off_bot
360,1.0,7.0,off_bot
361,1.0,14.0,off_bot
362,1.0,7.0,off_bot
363,1.0,2.0,off_bot
364,1.0,2.0,off_bot
365,1.0,2.0,off_bot
366,0.0,1.0,tree_bot
367,1.0,2.0,off_bot
368,1.0,1.0,off_bot
369,1.0,1.0,tree_bot
370,1.0,7.0,off_bot
371,1.0,11.0,off_bot
372,1.0,16.0,tree_bot
373,1.0,5.0,off_bot
374,1.0,8.0,off_bot
375,1.0,6.0,off_bot
376,1.0,7.0,off_bot
377,1.0,9.0,off_bot
378,1.0,5.0,tree_top
379,1.0,14.0,off_bot
380,1.0,4.0,off_bot
381,1.0,7.0,off_bot
382,1.0,5.0,off_bot
383,1.0,8.0,off_bot
384,1.0,7.0,tree_bot
385,1.0,9.0,tree_bot
386,1.0,11.0,off_bot
387,1.0,11.0,off_bot
388,1.0,1.0,off_bot
389,1.0,2.0,off_bot
390,1.0,2.0,off_bot
391,1.0,22.0,tree_top
392,1.0,10.0,off_bot
393,1.0,1.0,tree_top
394,0.0,0.0,tree_top
395,1.0,4.0,off_bot
396,1.0,19.0,off_bot
397,1.0,13.0,off_bot
398,0.0,2.0,tree_top
399,1.0,1.0,off_bot
400,1.0,1.0,tree_bot
401,1.0,5.0,tree_top
402,1.0,8.0,off_bot
403,1.0,8.0,off_bot
404,1.0,5.0,tree_top
405,1.0,14.0,off_bot
406,1.0,2.0,off_bot
407,1.0,17.0,tree_bot
408,1.0,11.0,off_bot
409,1.0,2.0,off_bot
410,1.0,3.0,tree_bot
411,1.0,5.0,off_bot
412,1.0,4.0,off_bot
413,1.0,6.0,off_bot
414,1.0,9.0,tree_bot
415,1.0,10.0,tree_bot
416,1.0,32.0,off_bot
417,1.0,26.0,off_bot
418,1.0,7.0,off_bot
419,1.0,2.0,tree_bot
420,1.0,12.0,off_bot
421,1.0,12.0,off_bot
422,1.0,13.0,off_bot
423,1.0,1.0,tree_top
424,1.0,4.0,off_bot
425,1.0,14.0,tree_top
426,1.0,5.0,tree_bot
427,1.0,35.0,tree_bot
428,1.0,1.0,tree_bot
429,1.0,25.0,off_bot
430,1.0,40.0,off_bot
431,1.0,2.0,off_bot
432,1.0,15.0,off_bot
433,1.0,1.0,off_bot
434,1.0,14.0,off_bot
435,1.0,4.0,tree_bot
436,1.0,35.0,tree_bot
437,1.0,4.0,tree_bot
438,1.0,3.0,off_bot
439,1.0,43.0,off_bot
440,1.0,7.0,off_bot
441,0.0,2.0,tree_top
442,1.0,5.0,tree_top
443,1.0,28.0,tree_bot
444,0.0,12.0,tree_bot
445,1.0,3.0,tree_top
446,1.0,4.0,tree_bot
447,1.0,4.0,tree_top
448,1.0,0.0,tree_top
449,1.0,11.0,off_bot
450,1.0,19.0,off_bot
451,0.0,23.0,tree_bot
452,1.0,6.0,off_bot
453,1.0,6.0,off_bot
454,0.0,20.0,tree_top
455,1.0,13.0,tree_bot
456,1.0,1.0,tree_bot
457,1.0,13.0,off_bot
458,1.0,33.0,off_bot
459,1.0,1.0,off_bot
460,1.0,11.0,tree_bot
461,1.0,24.0,off_bot
462,1.0,14.0,off_bot
463,1.0,25.0,off_bot
464,1.0,19.0,tree_bot
465,1.0,47.0,tree_bot
