eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.3,119,36,56,0.001,98.67,2.0,168.2,1091.0,tree_top,140.142857143,2.5,241.2,1091.0,tree_top,1.9,2.0,2.0,8.0,tree_top,324.466666667,224.0,458.8,1091.0,tree_top
0.1,1,0.275,119,36,56,0.001,83.36,2.0,89.2,965.0,tree_top,118.671428571,3.0,148.8,965.0,tree_top,1.36666666667,1.0,2.0,3.0,tree_top,206.65,92.5,453.2,965.0,tree_top
0.1,1,0.25,119,36,56,0.001,35.39,2.0,61.4,357.0,tree_bot,49.9857142857,6.0,97.0,357.0,tree_top,1.6,1.0,2.2,8.0,tree_top,86.275,62.0,153.6,357.0,tree_bot
0.1,1,0.225,119,36,56,0.001,65.67,2.0,134.0,703.0,tree_top,93.4142857143,7.0,172.0,703.0,tree_top,1.63333333333,1.0,2.0,4.0,tree_top,162.25,134.0,258.2,703.0,tree_top
0.1,1,0.2,119,36,56,0.001,86.7,2.0,74.4,1362.0,tree_top,123.257142857,3.0,155.2,1362.0,tree_top,1.33333333333,1.0,2.0,5.0,tree_top,276.64516129,133.0,394.0,1362.0,tree_top
0.1,1,0.3,119,36,56,0.001,81.45,2.0,88.0,1023.0,tree_top,115.9,5.5,251.2,1023.0,tree_top,1.77142857143,1.0,2.2,6.0,tree_top,230.028571429,113.0,353.6,1023.0,tree_top
0.1,1,0.275,119,36,56,0.001,58.15,1.0,35.4,734.0,tree_top,82.7571428571,2.0,175.2,734.0,tree_top,1.20588235294,1.0,1.4,5.0,tree_top,159.777777778,70.5,293.0,734.0,tree_top
0.1,1,0.25,119,36,56,0.001,92.04,2.0,79.6,1220.0,tree_top,131.028571429,4.0,164.6,1220.0,tree_top,1.20588235294,1.0,2.0,3.0,tree_top,253.638888889,116.5,471.0,1220.0,tree_top
0.1,1,0.225,119,36,56,0.001,124.24,2.5,172.0,2654.0,tree_top,177.114285714,11.5,289.8,2654.0,tree_top,1.7,1.0,3.0,6.0,tree_top,308.675,173.5,467.2,2654.0,tree_top
0.1,1,0.2,119,36,56,0.001,83.76,1.0,42.6,1167.0,tree_top,119.285714286,2.0,102.2,1167.0,tree_top,1.38235294118,1.0,2.0,8.0,tree_top,230.638888889,71.0,434.0,1167.0,tree_top
